k;n;cmp;swap
first;1000;2083;1105
middle;1000;3484;1746
last;1000;1745;1005
first;2000;3998;2023
middle;2000;6913;3543
last;2000;3641;2007
first;3000;5601;2626
middle;3000;10285;5509
last;3000;5561;3007
first;4000;8129;4155
middle;4000;13144;6494
last;4000;7687;4008
first;5000;9640;4666
middle;5000;16119;7967
last;5000;10244;5007
first;6000;11324;5350
middle;6000;20190;9964
last;6000;11822;6008
first;7000;14456;7484
middle;7000;23017;11826
last;7000;13499;7007
first;8000;16574;8603
middle;8000;29181;14695
last;8000;16045;8008
first;9000;17411;8439
middle;9000;30645;14895
last;9000;19357;9010
first;10000;19335;9362
middle;10000;33815;17083
last;10000;21522;10009
first;11000;21334;10361
middle;11000;37992;18551
last;11000;21489;11008
first;12000;24773;12803
middle;12000;37295;19766
last;12000;24380;12008
first;13000;24700;11729
middle;13000;41723;21496
last;13000;27825;13009
first;14000;29826;15856
middle;14000;48480;23913
last;14000;26964;14008
first;15000;31402;16432
middle;15000;52969;26974
last;15000;30383;15008
first;16000;31345;15374
middle;16000;51926;24850
last;16000;32622;16008
first;17000;31080;14110
middle;17000;54231;27758
last;17000;34273;17008
first;18000;39368;21399
middle;18000;63910;32808
last;18000;36627;18009
first;19000;39927;20958
middle;19000;58396;29264
last;19000;40237;19009
first;20000;38309;18339
middle;20000;63641;30921
last;20000;42209;20009
first;21000;41467;20498
middle;21000;71882;35567
last;21000;43543;21009
first;22000;46113;24149
middle;22000;80135;40291
last;22000;42282;22008
first;23000;48355;25387
middle;23000;78118;40055
last;23000;43252;23008
first;24000;50798;26831
middle;24000;79190;36026
last;24000;49224;24009
first;25000;51576;26610
middle;25000;81249;40332
last;25000;49330;25010
first;26000;53828;27859
middle;26000;90845;45914
last;26000;51904;26010
first;27000;54156;27190
middle;27000;94162;49581
last;27000;53129;27010
first;28000;54361;26394
middle;28000;87583;44953
last;28000;54724;28009
first;29000;51691;22721
middle;29000;104554;52943
last;29000;61986;29010
first;30000;57234;27263
middle;30000;105690;52414
last;30000;59940;30009
first;31000;59013;28044
middle;31000;109519;55519
last;31000;61347;31009
first;32000;62270;30299
middle;32000;107983;51226
last;32000;69307;32010
first;33000;62995;30029
middle;33000;114920;57516
last;33000;70919;33010
first;34000;65683;31715
middle;34000;112905;55957
last;34000;69478;34010
first;35000;71709;36741
middle;35000;120902;62171
last;35000;70133;35010
first;36000;74732;38763
middle;36000;122278;63960
last;36000;73393;36009
first;37000;73712;36745
middle;37000;125832;63507
last;37000;76338;37009
first;38000;73431;35462
middle;38000;122755;61969
last;38000;76357;38010
first;39000;73151;34185
middle;39000;134190;64964
last;39000;78210;39010
first;40000;79778;39811
middle;40000;142576;74842
last;40000;85685;40011
first;41000;76335;35367
middle;41000;144846;69761
last;41000;83356;41010
first;42000;84617;42651
middle;42000;137816;71697
last;42000;89687;42010
first;43000;82863;39896
middle;43000;150280;72631
last;43000;81476;43009
first;44000;90946;46980
middle;44000;144092;71527
last;44000;88419;44010
first;45000;83311;38345
middle;45000;143120;68189
last;45000;86995;45010
first;46000;88368;42401
middle;46000;160046;73985
last;46000;94777;46010
first;47000;89852;42884
middle;47000;156118;77275
last;47000;93638;47010
first;48000;96499;48532
middle;48000;154514;80574
last;48000;95189;48010
first;49000;95562;46599
middle;49000;164661;79736
last;49000;104679;49010
first;50000;93802;43832
middle;50000;166192;89182
last;50000;100870;50010
