n;cmp;time
1000;17;28
2000;19;37
3000;20;36
4000;20;40
5000;19;45
6000;20;48
7000;22;49
8000;22;53
9000;21;57
10000;22;55
11000;23;56
12000;23;60
13000;23;58
14000;24;57
15000;22;64
16000;25;64
17000;24;65
18000;24;68
19000;23;72
20000;25;66
21000;25;64
22000;25;72
23000;25;75
24000;25;71
25000;27;76
26000;23;72
27000;25;77
28000;27;84
29000;24;80
30000;24;80
31000;27;79
32000;26;88
33000;26;84
34000;24;83
35000;26;82
36000;27;89
37000;26;82
38000;24;83
39000;27;81
40000;25;83
41000;27;90
42000;28;82
43000;27;89
44000;27;90
45000;24;87
46000;27;93
47000;29;90
48000;29;92
49000;27;89
50000;27;90
51000;24;93
52000;26;90
53000;27;91
54000;27;89
55000;26;92
56000;28;91
57000;29;92
58000;28;96
59000;27;98
60000;27;95
61000;29;93
62000;30;95
63000;26;98
64000;27;97
65000;26;107
66000;28;97
67000;29;99
68000;27;98
69000;29;98
70000;30;95
71000;27;94
72000;29;104
73000;29;99
74000;26;101
75000;29;102
76000;27;101
77000;26;108
78000;27;112
79000;27;101
80000;27;105
81000;28;105
82000;28;104
83000;29;106
84000;29;104
85000;28;106
86000;29;109
87000;30;106
88000;29;113
89000;29;108
90000;29;109
91000;26;111
92000;31;113
93000;28;119
94000;28;117
95000;27;126
96000;29;122
97000;31;109
98000;25;120
99000;31;122
100000;29;114
